Port_IDs,PnL,ROI,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions
3672754654734989568,566.59765978,6.06645562671593e-07,0.18527447769074123,80.77703672000018,0.4430379746835443,210.0,474.0
3733192481840423936,2923.97719988,5.288870452238546e-08,0.06026543766319216,2743.12,0.8026124818577649,553.0,689.0
3768170840939476993,243.66889897,0.00042017463316652143,0.42427745640312486,0.0,0.42857142857142855,6.0,14.0
3784403294629753856,2521.81430468,7.161950640528401e-06,0.10658506601925602,271.29198097000017,0.3023140495867769,1829.0,6050.0
3786761687746711808,205.02139999,7.330495687572698e-08,0.21515049784088064,123.46026665,0.45121951219512196,37.0,82.0
3788465932399412480,13960.966456670001,1.5752949339303286e-05,0.15291214877946058,1772.2194397900003,0.44607363962202673,1369.0,3069.0
3818233536529843712,6419.607907139999,7.725751035043567e-07,0.1542821925494645,2036.5375697500006,0.3391977480647431,482.0,1421.0
3819545518395756033,980.06319996,1.0669601629706229e-07,0.21472291715119346,0.0,0.38235294117647056,26.0,68.0
3826087012661391104,532.65697373,2.8019605630007303e-05,0.6751014185094156,12.925980130000028,0.5833333333333334,63.0,108.0
3858510226868015873,-280.97295039,-1.0391187944910969e-07,-0.013558252740182634,827.30973014,0.24397590361445784,243.0,996.0
3865845304835489536,1406.06618669,0.0007919899466585002,0.2435747613391659,78.66142699000001,0.5113378684807256,451.0,882.0
3878631538480067329,3921.2330411600005,1.3936609402903905e-06,0.15606635691653334,1039.8421924400013,0.5033795802205621,1415.0,2811.0
3879821005658659073,4268.00656095,1.52595456495829e-06,0.13094012831820298,1961.0298660699996,0.33142201834862384,289.0,872.0
3880920727367689984,-176.82699999000002,-3.683286900422776e-08,-0.03862775677475694,609.39066665,0.33793103448275863,49.0,145.0
3886752488982104320,7195.178324640001,3.6108948460755116e-07,0.2217135876666529,38.20810000000006,0.745396317053643,931.0,1249.0
3887577207880438784,2417.51403674,5.28598941309659e-05,0.08791090507202313,577.6136464800004,0.4781818181818182,2893.0,6050.0
3891020560590657281,2856.30056379,0.06798005741097196,0.43247702595319504,0.0,0.6475972540045767,283.0,437.0
3907081197088384000,18015.997370259996,0.0003834842754837453,0.22272929259109017,2060.707122380003,0.6139714769156394,2540.0,4137.0
3910887259807777281,1803.3020100100002,2.1226061880465797e-07,0.10829621222172855,663.3218999799999,0.22666666666666666,17.0,75.0
3910983669796782848,6761.648048249999,1.036749267969275e-06,0.3310388618654858,201.72342223000032,0.428125,274.0,640.0
3911997667197443328,605.72231024,1.0674956200691074e-06,0.17285573562279435,229.55157354000002,0.46875,30.0,64.0
3914654298562589441,343.47044905000075,4.2884938827985965e-08,0.01097683633401039,3893.0689187699995,0.4140786749482402,200.0,483.0
3919174299855478272,1456.3718076200003,4.5945420311952964e-08,0.011491608845265346,9684.34458371,0.48066298342541436,609.0,1267.0
3919965573764932864,0.0,,,0.0,0.0,0.0,1.0
3923766029921022977,772.7290318900001,6.845409569492223e-08,0.07238099702504515,205.53265760000016,0.2851469420174742,359.0,1259.0
3925368433214965504,6789.436738630001,2.70650009427846e-07,0.2748734037096021,162.05753631999778,0.3333333333333333,486.0,1458.0
3926423286576838657,1309.4599595900002,6.741570539611521e-08,0.050259836011489124,1119.0932,0.3410041841004184,163.0,478.0
3930688517098515713,1947.24457347,6.426712961232312e-08,0.06311486826947775,1193.9074265099998,0.4861111111111111,140.0,288.0
3931992636670880512,10374.96528998,6.7980637973040756e-06,0.050796275472000454,1651.1316999599999,0.40165289256198344,2430.0,6050.0
3932103299427844097,3860.3097053499996,7.186687179599851e-08,0.08332210588185483,669.4568359399998,0.3005021243723445,778.0,2589.0
3935808725185052672,2301.9641228599994,1.0574493433702406e-07,0.0632538638680229,1394.9714398600001,0.3510204081632653,602.0,1715.0
3936410995029308417,10681.514000000001,2.8449394633615905e-07,0.2989837004791926,0.0,0.3,6.0,20.0
3937714876784951296,1117.5308932100006,2.843489192022585e-08,0.016314451097396966,3858.82450985,0.3933463796477495,201.0,511.0
3939318616482048768,9775.389109840002,3.0930480522096454e-06,0.2038294609803745,87.00335997999991,0.3746031746031746,118.0,315.0
3939925275039085824,2378.8786707,2.2824883950451048e-05,0.22595328142596866,78.62181990000008,0.3623481781376518,2148.0,5928.0
3941019213896463617,4234.087790029999,8.809656624511503e-08,0.08777363799755794,4944.99999998,0.49107142857142855,55.0,112.0
3942630767220672256,6611.89848042,1.0772277096689911e-06,0.06797969001775786,6083.72668798,0.3829744415375327,1903.0,4969.0
3943533600390906881,2361.4245720499994,1.9948932553774065e-06,0.4280792022224652,32.30352141000003,0.5480386583285958,964.0,1759.0
3944088772635000577,7581.491983399999,2.1771696656074442e-06,0.29914107625654146,97.2037250300009,0.4575292759360053,2774.0,6063.0
3944239644144231424,-1187.8909756799994,-3.8649586128241555e-08,-0.023731314255788564,5867.434541539999,0.26456876456876455,227.0,858.0
3944658614777849089,2074.4499799600003,7.029503738833924e-07,0.4074903672652918,0.0,0.4444444444444444,20.0,45.0
3946087913459823360,-40.667241669999996,-1.5858370394004757e-05,-0.005708494004031476,453.51285960000007,0.3171733771569433,1930.0,6085.0
3949214983441029120,1317.5775589599998,1.6510011912467494e-07,0.05876960185539987,131.15652971999998,0.369757174392936,1675.0,4530.0
3949329502284748801,425.96505789,2.7518289803095126e-07,0.13607138346451822,44.74980000999997,0.1875,72.0,384.0
3951723256343550465,5260.022863890001,2.8872647528782083e-07,0.05837825364318958,1073.1449283800025,0.3524804177545692,1215.0,3447.0
